"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.303488681E1,6.012149480E1,2.445259646E1,2.115601808E1,1.379999995E0,1.293000031E2,3.790092468E0,2.500000000E0
4.403492827E1,6.012148707E1,2.445261554E1,2.100950735E1,1.269999981E0,1.290000000E2,3.790092468E0,2.500000000E0
4.503550493E1,6.012147952E1,2.445263306E1,2.086213979E1,1.259999990E0,1.301000061E2,3.790092468E0,2.500000000E0
4.603573311E1,6.012147190E1,2.445265117E1,2.104686540E1,1.289999962E0,1.296999969E2,3.790092468E0,2.500000000E0
4.703549321E1,6.012146446E1,2.445266951E1,2.084493341E1,1.330000043E0,1.288999939E2,3.790092468E0,2.500000000E0
4.803555983E1,6.012145774E1,2.445268914E1,2.059844678E1,1.320000052E0,1.265999985E2,3.790092468E0,2.500000000E0
4.903508483E1,6.012145164E1,2.445270875E1,2.035787986E1,1.309999943E0,1.245999985E2,3.790092468E0,2.500000000E0
5.003497691E1,6.012144643E1,2.445272878E1,2.015893854E1,1.279999971E0,1.215999985E2,3.790092468E0,2.500000000E0
5.103573170E1,6.012144097E1,2.445274966E1,2.023294788E1,1.370000005E0,1.206999969E2,3.790092468E0,2.500000000E0
5.203536529E1,6.012143580E1,2.445276984E1,2.018335975E1,1.259999990E0,1.190000000E2,3.790092468E0,2.500000000E0
5.303516383E1,6.012143131E1,2.445279062E1,2.023258764E1,1.220000029E0,1.180000000E2,3.790092468E0,2.500000000E0
5.403480186E1,6.012142585E1,2.445281208E1,2.004732044E1,1.360000014E0,1.186999969E2,3.790092468E0,2.500000000E0
5.503513810E1,6.012142061E1,2.445283415E1,1.989830873E1,1.309999943E0,1.183000031E2,3.790092468E0,2.500000000E0
5.603506347E1,6.012141582E1,2.445285586E1,1.990005288E1,1.330000043E0,1.175999985E2,3.790092468E0,2.500000000E0
5.703523019E1,6.012141115E1,2.445287765E1,2.009820814E1,1.279999971E0,1.146999969E2,3.790092468E0,2.500000000E0
