"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.110364521E2,6.012113597E1,2.445617573E1,2.181253589E1,1.610000014E0,1.456999969E2,9.935046196E0,2.500000000E0
2.120364603E2,6.012112390E1,2.445619296E1,2.191981146E1,1.539999962E0,1.458000031E2,9.935046196E0,2.500000000E0
2.130364437E2,6.012111169E1,2.445620973E1,2.195201331E1,1.629999995E0,1.458000031E2,9.935046196E0,2.500000000E0
2.140359282E2,6.012110010E1,2.445622644E1,2.203615532E1,1.539999962E0,1.450000000E2,9.935046196E0,2.500000000E0
2.150361643E2,6.012108840E1,2.445624374E1,2.189379681E1,1.690000057E0,1.440000000E2,9.935046196E0,2.500000000E0
2.160359314E2,6.012107669E1,2.445626200E1,2.183194500E1,1.620000005E0,1.426000061E2,9.935046196E0,2.500000000E0
2.170362187E2,6.012106514E1,2.445627943E1,2.165186678E1,1.620000005E0,1.428999939E2,9.935046196E0,2.500000000E0
2.180363888E2,6.012105419E1,2.445629711E1,2.178373894E1,1.629999995E0,1.426000061E2,9.935046196E0,2.500000000E0
2.190363330E2,6.012104280E1,2.445631467E1,2.183852401E1,1.649999976E0,1.425000000E2,9.935046196E0,2.500000000E0
2.200363370E2,6.012103137E1,2.445633263E1,2.188256748E1,1.669999957E0,1.426000061E2,9.935046196E0,2.500000000E0
2.210359690E2,6.012101978E1,2.445635045E1,2.171091269E1,1.659999967E0,1.426999969E2,9.935046196E0,2.500000000E0
2.220364153E2,6.012100839E1,2.445636827E1,2.192884509E1,1.629999995E0,1.423000031E2,9.935046196E0,2.500000000E0
2.230363254E2,6.012099686E1,2.445638628E1,2.194548396E1,1.710000038E0,1.416000061E2,9.935046196E0,2.500000000E0
2.240364351E2,6.012098577E1,2.445640468E1,2.173623178E1,1.659999967E0,1.410000000E2,9.935046196E0,2.500000000E0
2.250360368E2,6.012097499E1,2.445642226E1,2.143731749E1,1.659999967E0,1.415000000E2,9.935046196E0,2.500000000E0
2.260364310E2,6.012096425E1,2.445643999E1,2.124588627E1,1.639999986E0,1.421999969E2,9.935046196E0,2.500000000E0
2.270367315E2,6.012095331E1,2.445645816E1,2.103529084E1,1.659999967E0,1.423999939E2,9.935046196E0,2.500000000E0
2.280365697E2,6.012094159E1,2.445647703E1,2.103447504E1,1.730000019E0,1.428000031E2,9.935046196E0,2.500000000E0
2.290359632E2,6.012092973E1,2.445649578E1,2.119454790E1,1.629999995E0,1.426999969E2,9.935046196E0,2.500000000E0
2.300365284E2,6.012091851E1,2.445651446E1,2.119214439E1,1.639999986E0,1.423000031E2,9.935046196E0,2.500000000E0
2.310364936E2,6.012090716E1,2.445653365E1,2.113389456E1,1.639999986E0,1.416000061E2,9.935046196E0,2.500000000E0
2.320363024E2,6.012089576E1,2.445655260E1,2.123500725E1,1.649999976E0,1.411000061E2,9.935046196E0,2.500000000E0
2.330364252E2,6.012088427E1,2.445657063E1,2.133923155E1,1.620000005E0,1.418999939E2,9.935046196E0,2.500000000E0
2.340364020E2,6.012087252E1,2.445658773E1,2.129617701E1,1.590000033E0,1.431999969E2,9.935046196E0,2.500000000E0
2.350364702E2,6.012086058E1,2.445660514E1,2.126270563E1,1.669999957E0,1.438999939E2,9.935046196E0,2.500000000E0
2.360364792E2,6.012084868E1,2.445662272E1,2.127122662E1,1.610000014E0,1.438000031E2,9.935046196E0,2.500000000E0
2.370361634E2,6.012083707E1,2.445664012E1,2.129366307E1,1.610000014E0,1.431000061E2,9.935046196E0,2.500000000E0
2.380361235E2,6.012082550E1,2.445665775E1,2.135076777E1,1.629999995E0,1.423999939E2,9.935046196E0,2.500000000E0
2.390364139E2,6.012081385E1,2.445667552E1,2.142935712E1,1.669999957E0,1.421999969E2,9.935046196E0,2.500000000E0
2.400363187E2,6.012080191E1,2.445669336E1,2.158027354E1,1.629999995E0,1.426000061E2,9.935046196E0,2.500000000E0
2.410366925E2,6.012078979E1,2.445671110E1,2.140251569E1,1.669999957E0,1.423999939E2,9.935046196E0,2.500000000E0
2.420361199E2,6.012077768E1,2.445672922E1,2.149319098E1,1.610000014E0,1.416999969E2,9.935046196E0,2.500000000E0
2.430359424E2,6.012076550E1,2.445674799E1,2.154974859E1,1.690000057E0,1.410000000E2,9.935046196E0,2.500000000E0
2.440360382E2,6.012075386E1,2.445676698E1,2.151566872E1,1.649999976E0,1.406999969E2,9.935046196E0,2.500000000E0
2.450360177E2,6.012074247E1,2.445678588E1,2.164015779E1,1.659999967E0,1.405000000E2,9.935046196E0,2.500000000E0
2.460361054E2,6.012073165E1,2.445680530E1,2.158215185E1,1.639999986E0,1.393000031E2,9.935046196E0,2.500000000E0
2.470359567E2,6.012072131E1,2.445682537E1,2.167392656E1,1.639999986E0,1.383000031E2,9.935046196E0,2.500000000E0
2.480366705E2,6.012071142E1,2.445684548E1,2.185658219E1,1.629999995E0,1.375000000E2,9.935046196E0,2.500000000E0
2.490360428E2,6.012070117E1,2.445686591E1,2.195555946E1,1.659999967E0,1.368000031E2,9.935046196E0,2.500000000E0
2.500360693E2,6.012069084E1,2.445688629E1,2.212698547E1,1.639999986E0,1.371999969E2,9.935046196E0,2.500000000E0
2.510364018E2,6.012068045E1,2.445690574E1,2.195649131E1,1.620000005E0,1.375000000E2,9.935046196E0,2.500000000E0
2.520367394E2,6.012067023E1,2.445692494E1,2.199205131E1,1.610000014E0,1.383000031E2,9.935046196E0,2.500000000E0
2.530361087E2,6.012065965E1,2.445694429E1,2.184383506E1,1.620000005E0,1.373000031E2,9.935046196E0,2.500000000E0
2.540359792E2,6.012064918E1,2.445696379E1,2.177832153E1,1.620000005E0,1.370000000E2,9.935046196E0,2.500000000E0
2.550359459E2,6.012063872E1,2.445698371E1,2.180661960E1,1.610000014E0,1.356999969E2,9.935046196E0,2.500000000E0
2.560364931E2,6.012062835E1,2.445700395E1,2.191853618E1,1.649999976E0,1.351000061E2,9.935046196E0,2.500000000E0
2.570359389E2,6.012061814E1,2.445702462E1,2.181750153E1,1.629999995E0,1.345000000E2,9.935046196E0,2.500000000E0
2.580363670E2,6.012060860E1,2.445704485E1,2.195621164E1,1.570000052E0,1.346000061E2,9.935046196E0,2.500000000E0
2.590359106E2,6.012059920E1,2.445706511E1,2.197053199E1,1.590000033E0,1.351999969E2,9.935046196E0,2.500000000E0
2.600359276E2,6.012058981E1,2.445708581E1,2.217894474E1,1.600000024E0,1.340000000E2,9.935046196E0,2.500000000E0
2.610363462E2,6.012058086E1,2.445710628E1,2.229153150E1,1.529999971E0,1.331000061E2,9.935046196E0,2.500000000E0
2.620366215E2,6.012057158E1,2.445712719E1,2.231616756E1,1.590000033E0,1.336000061E2,9.935046196E0,2.500000000E0
2.630362451E2,6.012056218E1,2.445714834E1,2.243278407E1,1.570000052E0,1.343000031E2,9.935046196E0,2.500000000E0
2.640359984E2,6.012055301E1,2.445717036E1,2.259566617E1,1.559999943E0,1.323999939E2,9.935046196E0,2.500000000E0
2.650366202E2,6.012054384E1,2.445719362E1,2.275726826E1,1.610000014E0,1.293000031E2,9.935046196E0,2.500000000E0
2.660368558E2,6.012053514E1,2.445721733E1,2.271666099E1,1.559999943E0,1.275999985E2,9.935046196E0,2.500000000E0
2.670360153E2,6.012052678E1,2.445724036E1,2.301290544E1,1.559999943E0,1.286000061E2,9.935046196E0,2.500000000E0
2.680361070E2,6.012051794E1,2.445726227E1,2.306653411E1,1.549999952E0,1.306000061E2,9.935046196E0,2.500000000E0
2.690364616E2,6.012050879E1,2.445728393E1,2.333128338E1,1.549999952E0,1.310000000E2,9.935046196E0,2.500000000E0
2.700364364E2,6.012050001E1,2.445730563E1,2.363735310E1,1.539999962E0,1.305000000E2,9.935046196E0,2.500000000E0
2.710362974E2,6.012049174E1,2.445732743E1,2.368390093E1,1.549999952E0,1.286000061E2,9.935046196E0,2.500000000E0
2.720358793E2,6.012048375E1,2.445734910E1,2.362912992E1,1.549999952E0,1.288000031E2,9.935046196E0,2.500000000E0
2.730367427E2,6.012047619E1,2.445737089E1,2.359120431E1,1.529999971E0,1.283999939E2,9.935046196E0,2.500000000E0
2.740365423E2,6.012046832E1,2.445739280E1,2.357598428E1,1.549999952E0,1.280000000E2,9.935046196E0,2.500000000E0
2.750363752E2,6.012046054E1,2.445741475E1,2.359018316E1,1.539999962E0,1.286000061E2,9.935046196E0,2.500000000E0
2.760361729E2,6.012045257E1,2.445743639E1,2.373768259E1,1.539999962E0,1.295000000E2,9.935046196E0,2.500000000E0
2.770360790E2,6.012044454E1,2.445745780E1,2.379759633E1,1.529999971E0,1.298999939E2,9.935046196E0,2.500000000E0
2.780367645E2,6.012043671E1,2.445748031E1,2.387557777E1,1.600000024E0,1.285000000E2,9.935046196E0,2.500000000E0
2.790366809E2,6.012042896E1,2.445750289E1,2.358856899E1,1.519999981E0,1.265999985E2,9.935046196E0,2.500000000E0
2.800366306E2,6.012042261E1,2.445752632E1,2.375004620E1,1.470000029E0,1.225999985E2,9.935046196E0,2.500000000E0
2.810362949E2,6.012041611E1,2.445755206E1,2.337643156E1,1.690000057E0,1.199000015E2,9.935046196E0,2.500000000E0
2.820363173E2,6.012040931E1,2.445757985E1,2.302900416E1,1.700000048E0,1.189000015E2,9.935046196E0,2.500000000E0
2.830362591E2,6.012039858E1,2.445760733E1,2.235846044E1,2.019999981E0,1.301000061E2,9.935046196E0,2.500000000E0
2.840365506E2,6.012038301E1,2.445764025E1,2.270648413E1,2.680000067E0,1.338000031E2,9.935046196E0,2.500000000E0
2.850367479E2,6.012036489E1,2.445767681E1,2.246815086E1,2.720000029E0,1.356999969E2,9.935046196E0,2.500000000E0
2.860365162E2,6.012034715E1,2.445771478E1,2.229561503E1,2.769999981E0,1.316000061E2,9.935046196E0,2.500000000E0
2.870364155E2,6.012033004E1,2.445775401E1,2.216202069E1,2.759999990E0,1.318000031E2,9.935046196E0,2.500000000E0
2.880365333E2,6.012031328E1,2.445779247E1,2.201652306E1,2.720000029E0,1.321000061E2,9.935046196E0,2.500000000E0
2.890365718E2,6.012029620E1,2.445783020E1,2.159361998E1,2.779999971E0,1.326000061E2,9.935046196E0,2.500000000E0
2.900366981E2,6.012027920E1,2.445786699E1,2.122320574E1,2.680000067E0,1.330000000E2,9.935046196E0,2.500000000E0
2.910365681E2,6.012026192E1,2.445790364E1,2.101752550E1,2.779999971E0,1.338000031E2,9.935046196E0,2.500000000E0
2.920359290E2,6.012024447E1,2.445793985E1,2.103132726E1,2.700000048E0,1.348999939E2,9.935046196E0,2.500000000E0
2.930364616E2,6.012022744E1,2.445797676E1,2.083034682E1,2.759999990E0,1.336000061E2,9.935046196E0,2.500000000E0
2.940357982E2,6.012021030E1,2.445801497E1,2.073733948E1,2.799999952E0,1.330000000E2,9.935046196E0,2.500000000E0
2.950366238E2,6.012019366E1,2.445805211E1,2.066453277E1,2.670000076E0,1.328000031E2,9.935046196E0,2.500000000E0
2.960358810E2,6.012017750E1,2.445809043E1,2.033898058E1,2.750000000E0,1.321999969E2,9.935046196E0,2.500000000E0
2.970367908E2,6.012016127E1,2.445812961E1,1.969537547E1,2.769999981E0,1.313999939E2,9.935046196E0,2.500000000E0
2.980368705E2,6.012014591E1,2.445816968E1,1.966554018E1,2.740000010E0,1.293000031E2,9.935046196E0,2.500000000E0
2.990368006E2,6.012013140E1,2.445820976E1,1.980257410E1,2.609999895E0,1.296000061E2,9.935046196E0,2.500000000E0
3.000363640E2,6.012011702E1,2.445824983E1,1.959128024E1,2.720000029E0,1.293999939E2,9.935046196E0,2.500000000E0
3.010360066E2,6.012010229E1,2.445829079E1,1.936100604E1,2.720000029E0,1.293000031E2,9.935046196E0,2.500000000E0
3.020366084E2,6.012008783E1,2.445833292E1,1.937810867E1,2.730000019E0,1.285000000E2,9.935046196E0,2.500000000E0
3.030365063E2,6.012007375E1,2.445837502E1,1.955774746E1,2.740000010E0,1.286000061E2,9.935046196E0,2.500000000E0
3.040367660E2,6.012005923E1,2.445841649E1,1.964345276E1,2.750000000E0,1.306000061E2,9.935046196E0,2.500000000E0
3.050366362E2,6.012004306E1,2.445845599E1,1.917038025E1,2.720000029E0,1.350000000E2,9.935046196E0,2.500000000E0
3.060365495E2,6.012002656E1,2.445849619E1,1.924540476E1,2.819999933E0,1.343999939E2,9.935046196E0,2.500000000E0
3.070363240E2,6.012001133E1,2.445853938E1,1.931109367E1,2.799999952E0,1.298000031E2,9.935046196E0,2.500000000E0
3.080360111E2,6.011999962E1,2.445858151E1,1.898493161E1,2.359999895E0,1.231999969E2,9.935046196E0,2.500000000E0
3.090360253E2,6.011998983E1,2.445862623E1,1.854329256E1,2.700000048E0,1.179000015E2,9.935046196E0,2.500000000E0
3.100363717E2,6.011997934E1,2.445867548E1,1.883927039E1,2.839999914E0,1.180999985E2,9.935046196E0,2.500000000E0
3.110366558E2,6.011996838E1,2.445872388E1,1.893010838E1,2.759999990E0,1.181999969E2,9.935046196E0,2.500000000E0
3.120363211E2,6.011995793E1,2.445877356E1,1.915083041E1,2.859999895E0,1.178000031E2,9.935046196E0,2.500000000E0
3.130362746E2,6.011994636E1,2.445882672E1,1.935697106E1,2.990000010E0,1.170999985E2,9.935046196E0,2.500000000E0
3.140360799E2,6.011993667E1,2.445887513E1,1.901781503E1,2.609999895E0,1.159000015E2,9.935046196E0,2.500000000E0
3.150360561E2,6.011992772E1,2.445892250E1,1.895838088E1,2.759999990E0,1.158000031E2,9.935046196E0,2.500000000E0
3.160361231E2,6.011991789E1,2.445897111E1,1.905959393E1,2.789999962E0,1.150000000E2,9.935046196E0,2.500000000E0
3.170366507E2,6.011990823E1,2.445901862E1,1.855008750E1,2.720000029E0,1.143000031E2,9.935046196E0,2.500000000E0
3.180364800E2,6.011989807E1,2.445906915E1,1.916326645E1,2.970000029E0,1.139000015E2,9.935046196E0,2.500000000E0
3.190361008E2,6.011988797E1,2.445912020E1,1.899251051E1,2.859999895E0,1.130999985E2,9.935046196E0,2.500000000E0
3.200359232E2,6.011987820E1,2.445916899E1,1.930221983E1,2.700000048E0,1.135000000E2,9.935046196E0,2.500000000E0
3.210364820E2,6.011986822E1,2.445921779E1,1.922820137E1,2.880000114E0,1.140000000E2,9.935046196E0,2.500000000E0
3.220366220E2,6.011985765E1,2.445926611E1,1.902918289E1,2.740000010E0,1.140000000E2,9.935046196E0,2.500000000E0
3.230363381E2,6.011984718E1,2.445931405E1,1.926217060E1,2.799999952E0,1.138000031E2,9.935046196E0,2.500000000E0
3.240364049E2,6.011983637E1,2.445936173E1,1.930454553E1,2.779999971E0,1.155000000E2,9.935046196E0,2.500000000E0
3.250362298E2,6.011982542E1,2.445940881E1,1.938994957E1,2.789999962E0,1.153000031E2,9.935046196E0,2.500000000E0
3.260367643E2,6.011981472E1,2.445945533E1,1.910474709E1,2.730000019E0,1.144000015E2,9.935046196E0,2.500000000E0
3.270366462E2,6.011980557E1,2.445949967E1,1.944240370E1,2.569999933E0,1.114000015E2,3.790092468E0,2.500000000E0
3.280359133E2,6.011979859E1,2.445954535E1,2.041012574E1,2.700000048E0,1.070999985E2,3.790092468E0,2.500000000E0
3.290363695E2,6.011979327E1,2.445958730E1,2.071683010E1,2.319999933E0,1.043000031E2,3.790092468E0,2.500000000E0
3.300361759E2,6.011978927E1,2.445962058E1,2.074556695E1,1.889999986E0,1.029000015E2,3.790092468E0,2.500000000E0
3.310368454E2,6.011978553E1,2.445964549E1,2.065466303E1,1.539999962E0,1.066999969E2,3.790092468E0,2.500000000E0
3.320362920E2,6.011978070E1,2.445966638E1,2.060013169E1,1.500000000E0,1.118000031E2,3.790092468E0,2.500000000E0
3.330359789E2,6.011977460E1,2.445968551E1,2.044409781E1,1.460000038E0,1.174000015E2,3.790092468E0,2.500000000E0
3.340361567E2,6.011976753E1,2.445970549E1,2.060441137E1,1.559999943E0,1.191999969E2,3.790092468E0,2.500000000E0
3.350367000E2,6.011976075E1,2.445972591E1,2.048628285E1,1.460000038E0,1.175999985E2,3.790092468E0,2.500000000E0
3.360361638E2,6.011975427E1,2.445974673E1,2.040898707E1,1.490000010E0,1.160000000E2,3.790092468E0,2.500000000E0
3.370361363E2,6.011974787E1,2.445976776E1,2.041787314E1,1.440000057E0,1.150999985E2,3.790092468E0,2.500000000E0
3.380360749E2,6.011974205E1,2.445979001E1,2.049615724E1,1.379999995E0,1.148000031E2,3.790092468E0,2.500000000E0
3.390361837E2,6.011973662E1,2.445981173E1,2.038297290E1,1.370000005E0,1.141999969E2,3.790092468E0,2.500000000E0
3.400367334E2,6.011973167E1,2.445983396E1,2.029359247E1,1.370000005E0,1.120999985E2,3.790092468E0,2.500000000E0
3.410366660E2,6.011972765E1,2.445985834E1,2.029582777E1,1.500000000E0,1.074000015E2,3.790092468E0,2.500000000E0
3.420363092E2,6.011972453E1,2.445988434E1,2.026211464E1,1.500000000E0,1.033000031E2,3.790092468E0,2.500000000E0
3.430368478E2,6.011972230E1,2.445990928E1,2.024951725E1,1.490000010E0,1.013000031E2,3.790092468E0,2.500000000E0
3.440359455E2,6.011972008E1,2.445993418E1,2.024869958E1,1.500000000E0,1.028000031E2,3.790092468E0,2.500000000E0
3.450358857E2,6.011971775E1,2.445995916E1,2.020546270E1,1.490000010E0,1.026999969E2,3.790092468E0,2.500000000E0
3.460367501E2,6.011971595E1,2.445998376E1,2.014305969E1,1.470000029E0,1.006999969E2,3.790092468E0,2.500000000E0
3.470360178E2,6.011971495E1,2.446000740E1,1.977956806E1,1.440000057E0,9.859999847E1,3.790092468E0,2.500000000E0
3.480361283E2,6.011971477E1,2.446003227E1,1.960101378E1,1.519999981E0,9.580000305E1,3.790092468E0,2.500000000E0
3.490365134E2,6.011971554E1,2.446005763E1,1.937472965E1,1.509999990E0,9.250000000E1,3.790092468E0,2.500000000E0
3.500366047E2,6.011971700E1,2.446008240E1,1.912091712E1,1.480000019E0,8.859999847E1,3.790092468E0,2.500000000E0
3.510363561E2,6.011971944E1,2.446010739E1,1.908274103E1,1.539999962E0,8.440000153E1,3.790092468E0,2.500000000E0
3.520360490E2,6.011972283E1,2.446013264E1,1.892078499E1,1.549999952E0,8.169999695E1,3.790092468E0,2.500000000E0
3.530359936E2,6.011972667E1,2.446015720E1,1.860330993E1,1.500000000E0,8.030000305E1,3.790092468E0,2.500000000E0
3.540363201E2,6.011973080E1,2.446018142E1,1.848987462E1,1.500000000E0,7.930000305E1,3.790092468E0,2.500000000E0
3.550366331E2,6.011973476E1,2.446020601E1,1.845493121E1,1.509999990E0,7.909999847E1,3.790092468E0,2.500000000E0
3.560360712E2,6.011973872E1,2.446023134E1,1.855823345E1,1.519999981E0,7.869999695E1,3.790092468E0,2.500000000E0
3.570363795E2,6.011974235E1,2.446025610E1,1.850986290E1,1.460000038E0,7.990000153E1,3.790092468E0,2.500000000E0
3.580363199E2,6.011974556E1,2.446028072E1,1.840405852E1,1.450000048E0,7.909999847E1,3.790092468E0,2.500000000E0
3.590366028E2,6.011974904E1,2.446030575E1,1.831387943E1,1.480000019E0,7.830000305E1,3.790092468E0,2.500000000E0
3.600361630E2,6.011975217E1,2.446033087E1,1.811402065E1,1.470000029E0,7.780000305E1,3.790092468E0,2.500000000E0
3.610364967E2,6.011975514E1,2.446035575E1,1.795212558E1,1.460000038E0,7.859999847E1,3.790092468E0,2.500000000E0
3.620366950E2,6.011975830E1,2.446038065E1,1.808850915E1,1.470000029E0,7.900000000E1,3.790092468E0,2.500000000E0
3.630361794E2,6.011976151E1,2.446040593E1,1.790329895E1,1.460000038E0,7.830000305E1,3.790092468E0,2.500000000E0
3.640359276E2,6.011976498E1,2.446043152E1,1.779664114E1,1.539999962E0,7.769999695E1,3.790092468E0,2.500000000E0
3.650363681E2,6.011976855E1,2.446045764E1,1.773588240E1,1.529999971E0,7.780000305E1,3.790092468E0,2.500000000E0
3.660358070E2,6.011977215E1,2.446048324E1,1.761982505E1,1.490000010E0,7.800000000E1,3.790092468E0,2.500000000E0
3.670361271E2,6.011977587E1,2.446050876E1,1.751566932E1,1.500000000E0,7.740000153E1,3.790092468E0,2.500000000E0
3.680362314E2,6.011978015E1,2.446053490E1,1.747785905E1,1.549999952E0,7.580000305E1,3.790092468E0,2.500000000E0
3.690359471E2,6.011978432E1,2.446056128E1,1.708464153E1,1.529999971E0,7.630000305E1,3.790092468E0,2.500000000E0
3.700363702E2,6.011978806E1,2.446058819E1,1.685054385E1,1.570000052E0,7.800000000E1,3.790092468E0,2.500000000E0
3.710364557E2,6.011979163E1,2.446061491E1,1.656725175E1,1.490000010E0,7.930000305E1,3.790092468E0,2.500000000E0
3.720364591E2,6.011979511E1,2.446064131E1,1.642049496E1,1.500000000E0,7.780000305E1,3.790092468E0,2.500000000E0
3.730357985E2,6.011979893E1,2.446066761E1,1.623711656E1,1.490000010E0,7.540000153E1,3.790092468E0,2.500000000E0
3.740365942E2,6.011980280E1,2.446069347E1,1.596944796E1,1.480000019E0,7.530000305E1,3.790092468E0,2.500000000E0
3.750367852E2,6.011980606E1,2.446071915E1,1.572863522E1,1.440000057E0,7.730000305E1,3.790092468E0,2.500000000E0
3.760368051E2,6.011980901E1,2.446074501E1,1.564205892E1,1.509999990E0,7.859999847E1,3.790092468E0,2.500000000E0
3.770367242E2,6.011981183E1,2.446077138E1,1.555688726E1,1.519999981E0,7.880000305E1,3.790092468E0,2.500000000E0
3.780368648E2,6.011981440E1,2.446079771E1,1.546854199E1,1.500000000E0,7.830000305E1,3.790092468E0,2.500000000E0
3.790364691E2,6.011981647E1,2.446082439E1,1.530823730E1,1.500000000E0,7.930000305E1,3.790092468E0,2.500000000E0
3.800363244E2,6.011981883E1,2.446085106E1,1.529368423E1,1.529999971E0,7.859999847E1,3.790092468E0,2.500000000E0
3.810363316E2,6.011982167E1,2.446087755E1,1.526802200E1,1.490000010E0,7.819999695E1,3.790092468E0,2.500000000E0
3.820364705E2,6.011982428E1,2.446090461E1,1.510649654E1,1.549999952E0,7.759999847E1,3.790092468E0,2.500000000E0
3.830366656E2,6.011982698E1,2.446093172E1,1.497420690E1,1.509999990E0,7.840000153E1,3.790092468E0,2.500000000E0
3.840365231E2,6.011982926E1,2.446095848E1,1.471966381E1,1.519999981E0,7.809999847E1,3.790092468E0,2.500000000E0
3.850367413E2,6.011983222E1,2.446098543E1,1.477646058E1,1.559999943E0,7.750000000E1,3.790092468E0,2.500000000E0
3.860360788E2,6.011983528E1,2.446101196E1,1.470178694E1,1.509999990E0,7.650000000E1,3.790092468E0,2.500000000E0
3.870360763E2,6.011983863E1,2.446103834E1,1.443906345E1,1.529999971E0,7.619999695E1,3.790092468E0,2.500000000E0
3.880361022E2,6.011984187E1,2.446106457E1,1.423139360E1,1.470000029E0,7.680000305E1,3.790092468E0,2.500000000E0
3.890360879E2,6.011984489E1,2.446108996E1,1.412137906E1,1.419999957E0,7.800000000E1,3.790092468E0,2.500000000E0
3.900363953E2,6.011984758E1,2.446111462E1,1.404493321E1,1.389999986E0,7.790000153E1,3.790092468E0,2.500000000E0
3.910363258E2,6.011985012E1,2.446113962E1,1.395982100E1,1.450000048E0,7.880000305E1,3.790092468E0,2.500000000E0
3.920362788E2,6.011985249E1,2.446116524E1,1.379743932E1,1.450000048E0,7.850000000E1,3.790092468E0,2.500000000E0
3.930360459E2,6.011985520E1,2.446119155E1,1.376030237E1,1.509999990E0,7.819999695E1,3.790092468E0,2.500000000E0
3.940360640E2,6.011985833E1,2.446121800E1,1.371510852E1,1.509999990E0,7.600000000E1,3.790092468E0,2.500000000E0
3.950364412E2,6.011986164E1,2.446124490E1,1.381865777E1,1.539999962E0,7.580000305E1,3.790092468E0,2.500000000E0
3.960365353E2,6.011986445E1,2.446127120E1,1.361800751E1,1.460000038E0,7.580000305E1,3.790092468E0,2.500000000E0
3.970367287E2,6.011986678E1,2.446129824E1,1.386517374E1,1.549999952E0,7.759999847E1,3.790092468E0,2.500000000E0
3.980362708E2,6.011986871E1,2.446132626E1,1.375308882E1,1.559999943E0,7.919999695E1,3.790092468E0,2.500000000E0
3.990360091E2,6.011987009E1,2.446135351E1,1.359669191E1,1.539999962E0,8.169999695E1,3.790092468E0,2.500000000E0
4.000362419E2,6.011987120E1,2.446138017E1,1.337919828E1,1.529999971E0,8.200000000E1,3.790092468E0,2.500000000E0
4.010368703E2,6.011987250E1,2.446140572E1,1.328072146E1,1.470000029E0,8.030000305E1,3.790092468E0,2.500000000E0
4.020363403E2,6.011987415E1,2.446143063E1,1.313762668E1,1.500000000E0,7.900000000E1,3.790092468E0,2.500000000E0
4.030366917E2,6.011987549E1,2.446145580E1,1.310860731E1,1.500000000E0,8.100000000E1,3.790092468E0,2.500000000E0
4.040366236E2,6.011987688E1,2.446148096E1,1.303265183E1,1.490000010E0,8.100000000E1,3.790092468E0,2.500000000E0
4.050361199E2,6.011987833E1,2.446150581E1,1.283139068E1,1.470000029E0,8.100000000E1,3.790092468E0,2.500000000E0
4.060368047E2,6.011988004E1,2.446153096E1,1.285559354E1,1.509999990E0,7.900000000E1,3.790092468E0,2.500000000E0
4.070359528E2,6.011988190E1,2.446155624E1,1.304367580E1,1.490000010E0,8.030000305E1,3.790092468E0,2.500000000E0
4.080363711E2,6.011988322E1,2.446158111E1,1.316425320E1,1.460000038E0,8.180000305E1,3.790092468E0,2.500000000E0
4.090368066E2,6.011988461E1,2.446160663E1,1.321964588E1,1.519999981E0,8.169999695E1,3.790092468E0,2.500000000E0
4.100367694E2,6.011988654E1,2.446163281E1,1.319398419E1,1.549999952E0,8.080000305E1,3.790092468E0,2.500000000E0
4.110367995E2,6.011988880E1,2.446165876E1,1.321354889E1,1.509999990E0,8.009999847E1,3.790092468E0,2.500000000E0
4.120362021E2,6.011989100E1,2.446168469E1,1.316847739E1,1.529999971E0,8.109999847E1,3.790092468E0,2.500000000E0
4.130359595E2,6.011989325E1,2.446171049E1,1.310308095E1,1.490000010E0,8.119999695E1,3.790092468E0,2.500000000E0
4.140359730E2,6.011989556E1,2.446173587E1,1.326034012E1,1.490000010E0,8.180000305E1,3.790092468E0,2.500000000E0
4.150360276E2,6.011989739E1,2.446176152E1,1.302044441E1,1.470000029E0,8.230000305E1,3.790092468E0,2.500000000E0
4.160366974E2,6.011989881E1,2.446178673E1,1.307431075E1,1.450000048E0,8.430000305E1,3.790092468E0,2.500000000E0
4.170361970E2,6.011990045E1,2.446181111E1,1.310424992E1,1.440000057E0,8.350000000E1,3.790092468E0,2.500000000E0
4.180367810E2,6.011990204E1,2.446183598E1,1.309866736E1,1.490000010E0,8.330000305E1,3.790092468E0,2.500000000E0
4.190362130E2,6.011990377E1,2.446186078E1,1.316412947E1,1.450000048E0,8.259999847E1,3.790092468E0,2.500000000E0
4.200363334E2,6.011990540E1,2.446188622E1,1.338584258E1,1.490000010E0,8.369999695E1,3.790092468E0,2.500000000E0
4.210361947E2,6.011990657E1,2.446191135E1,1.331678427E1,1.399999976E0,8.509999847E1,3.790092468E0,2.500000000E0
4.220363959E2,6.011990708E1,2.446193619E1,1.328337080E1,1.440000057E0,8.780000305E1,3.790092468E0,2.500000000E0
4.230367061E2,6.011990708E1,2.446196305E1,1.365608860E1,1.570000052E0,9.090000153E1,3.790092468E0,2.500000000E0
4.240367414E2,6.011990656E1,2.446198954E1,1.405456329E1,1.350000024E0,9.190000153E1,3.790092468E0,2.500000000E0
4.250362822E2,6.011990642E1,2.446201374E1,1.406332492E1,1.360000014E0,9.119999695E1,3.790092468E0,2.500000000E0
4.260364735E2,6.011990676E1,2.446203811E1,1.440814585E1,1.269999981E0,8.930000305E1,3.790092468E0,2.500000000E0
4.270368112E2,6.011990807E1,2.446206138E1,1.460062046E1,1.220000029E0,8.609999847E1,3.790092468E0,2.500000000E0
