"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.775451250E-1,-1.645565033E-2,7.178497314E-2,-6.654157639E-1
3.825411150E-1,1.039958000E-2,8.358907700E-2,-5.909824371E-1
3.875371050E-1,6.027913094E-2,5.367326736E-2,-5.087814331E-1
3.925330940E-1,5.283856392E-2,1.087379456E-2,-3.431420326E-1
3.975290840E-1,8.852267265E-2,1.642465591E-2,-8.526563644E-2
4.025250730E-1,1.010673046E-1,4.559135437E-2,1.885480881E-1
4.075210630E-1,1.007516384E-1,3.127574921E-2,4.881610870E-1
4.125170530E-1,1.165676117E-1,6.813192368E-2,7.144346237E-1
4.175130420E-1,1.063137054E-1,7.954788208E-2,8.071823120E-1
4.225090320E-1,9.383487701E-2,7.981538773E-2,8.201704025E-1
4.275050730E-1,8.360242844E-2,7.365894318E-2,7.685575485E-1
4.325011150E-1,3.740215302E-2,7.075881958E-2,6.529245377E-1
4.374971570E-1,-3.080368042E-2,7.129716873E-2,4.973430634E-1
4.424931980E-1,-1.120495796E-1,7.553815842E-2,3.349847794E-1
4.474892400E-1,-1.877901554E-1,1.122341156E-1,1.655035019E-1
4.524852820E-1,-2.681434155E-1,1.435108185E-1,-3.038787842E-2
4.574813230E-1,-3.535068035E-1,1.745543480E-1,-3.854184151E-1
4.624773650E-1,-6.575222015E-1,2.312145233E-1,-2.201940536E0
4.674734070E-1,-9.898695946E-1,3.966007233E-1,-2.875796318E0
4.724694480E-1,-1.101616383E0,5.179991722E-1,-2.391714096E0
4.774654900E-1,-7.402226925E-1,4.760842323E-1,-1.415173531E0
4.824615320E-1,-1.221013069E-1,3.035602570E-1,-3.141088486E-1
4.874575730E-1,3.451507092E-1,1.801691055E-1,6.326770782E-1
4.924536150E-1,4.473741055E-1,2.227158546E-1,1.148788452E0
4.974496570E-1,2.794144154E-1,3.295826912E-1,1.149230003E0
5.024456980E-1,5.120754242E-3,3.817396164E-1,9.614405632E-1
5.074417400E-1,-2.950541973E-1,3.277096748E-1,7.906503677E-1
5.124377820E-1,-5.372428894E-1,2.682027817E-1,6.265487671E-1
5.174338230E-1,-6.519954205E-1,2.129096985E-1,5.586743355E-1
5.224298650E-1,-6.738607883E-1,1.899642944E-1,6.004433632E-1
5.274259070E-1,-5.701665878E-1,1.802058220E-1,6.275506020E-1
5.324219480E-1,-4.080266953E-1,2.123303413E-1,4.598302841E-1
